ID,Word,Meaning,Mastery,Rank
1,provide,提供する、与える,D,1
2,merchant,商人,D,1
3,needle,針,D,1
4,fasten,（ベルトなどを）締める,D,1
5,mental,心［精神］の,D,1
6,object,目的、物体、反対する,D,1
7,produce,生産する、制作する、（集合的に）農産物,D,1
8,progress,進展、進歩する,D,1
9,finished,仕上がった、終わった,D,1
10,oxygen,酸素,D,1
11,alive,生きている,D,1
12,own,所有する,D,1
13,recommend,推薦する,D,1
14,diplomacy,外交,D,1
15,rainfall,降雨,D,1
16,rise,上がる、生じる,D,1
17,admirable,賞賛に値する,D,1
18,structure,構造、枠組み,D,1
19,upstairs,階上へ［で］,D,1
20,observatory,観測所、天文台、気象台,D,1
21,herbivore,草食動物,D,1
22,exercise,練習（問題）、体操、運動する、鍛える,D,1
23,lava,溶岩,D,1
24,territory,領地、地域,D,1
25,imagine,想像する,D,1
26,usage,使用法,D,1
27,grain,穀物、（砂などの）粒、木目,D,1
28,adopt,採用する,D,1
29,investment,投資,D,1
30,proposal,申し入れ,D,1
31,tool,道具、ツール,D,1
32,vibration,振動,D,1
33,previous,前の、以前の,D,1
34,treatment,扱い,D,1
35,scissors,（複数形で）はさみ,D,1
36,fireplace,暖炉,D,1
37,folk,民衆、人々,D,1
38,involve,巻き込む,D,1
39,poet,詩人,D,1
40,passenger,乗客、旅客,D,1
41,wage,賃金,D,1
42,ancestor,先祖,D,1
43,interrupt,さえぎる、妨害する,D,1
44,bank,土手、銀行,D,1
45,recover,回復する,D,1
46,carve,刻む,D,1
47,exclaim,叫ぶ、非難する,D,1
48,herb,（香草や薬草などの）ハーブ,D,1
49,hesitate,躊躇する、ためらう,D,1
50,X-ray,（通例〜s）X線,D,1
51,grass,芝生、草、牧草,D,1
52,undertake,請け合う、着手する,D,1
53,recognize,認識する、認める,D,1
54,accomplish,成し遂げる、果たす,D,1
55,fond,好んで,D,1
56,tend,〜の傾向がある,D,1
57,discussion,議論,D,1
58,humid,湿気のある,D,1
59,island,島,D,1
60,permanent,（半）永久的な、永続する,D,1
61,scholar,学者,D,1
62,later,後ほど、より最近の,D,1
63,fine,洗練された、申し分のない,D,1
64,carbon,炭素,D,1
65,decision,決定,D,1
66,broad,広い,D,1
67,freeze,凍る,D,1
68,creative,創造的な,D,1
69,furthermore,さらに,D,1
70,sufficient,十分な,D,1
71,affluent,豊富な,D,1
72,increase,増加する,D,1
73,cheerfully,にこやかに,D,1
74,nearly,ほとんど,D,1
75,water,（植物などに）水をやる,D,1
76,skill,技能,D,1
77,illness,病気,D,1
78,vote,投票、投票する,D,1
79,saw,のこぎり,D,1
80,indeed,本当に、実に,D,1
81,require,要求する、必要とする,D,1
82,describe,述べる、記述する,D,1
83,parcel,小包,D,1
84,apparent,明らかな,D,1
85,official,公式の,D,1
86,navy,（しばしば the 〜）海軍,D,1
87,sign,サインする、署名する,D,1
88,odor,匂い、香気,D,1
89,scent,香り,D,1
90,suppose,仮定する,D,1
91,brochure,小冊子、パンフレット,D,1
92,calm,穏やかな,D,1
93,tuition,授業料、指導、教授,D,1
94,trial,試み、裁判,D,1
95,countryside,（通例 the 〜）田園地帯、田舎,D,1
96,clerk,事務員、フロント係,D,1
97,independence,独立,D,1
98,past,過去、過去の,D,1
99,sculpture,彫像,D,1
100,habitat,（動物や植物の）生息域,D,1
101,unable,〜できない,D,1
102,tissue,（細胞の）組織,D,1
103,package,小包,D,1
104,aroma,香り、香気、気品,D,1
105,resemble,似ている,D,1
106,generate,生み出す、発生させる,D,1
107,complain,文句［苦情］を言う,D,1
108,compete,競争する,D,1
109,landscape painting,風景画,D,1
110,blow,（風の）一吹き、（風が）吹く,D,1
111,religion,宗教,D,1
112,act,法令、行動,D,1
113,instantly,即座に,D,1
114,resist,抵抗する,D,1
115,typical,典型的な,D,1
116,formal,公式の,D,1
117,equipment,機器、装置,D,1
118,excuse,言い訳、許す,D,1
119,fever,熱,D,1
120,restrict,制限する,D,1
121,available,利用可能な,D,1
122,divide,分ける,D,1
123,economic,経済（上）の,D,1
124,discover,発見する,D,1
125,priest,聖職者,D,1
126,basic,基本の,D,1
127,resume,再開する,D,1
128,edition,（本などの）版,D,1
129,traffic,交通,D,1
130,distant,距離の離れた、遠い,D,1
131,prevent,妨げる、防ぐ,D,1
132,occupy,占める,D,1
133,maize,トウモロコシ,D,1
134,channel,チャンネル、海峡,D,1
135,victim,犠牲者,D,1
136,BCE,紀元前,D,1
137,voyage,航海,D,1
138,honor,名誉,D,1
139,wonder,驚く、不思議に思う,D,1
140,halt,止まる,D,1
141,corner,角,D,1
142,politician,政治家,D,1
143,democracy,民主主義,D,1
144,brave,勇敢な,D,1
145,gene,遺伝子,D,1
146,register,登録する,D,1
147,boring,退屈な,D,1
148,feature,特徴,D,1
149,major,専攻科目、主要な,D,1
150,wrap,包む,D,1
151,airflow,気流,D,1
152,modest,謙虚な,D,1
153,dangerous,危険な,D,1
154,poetry,詩、韻文,D,1
155,strict,厳しい、厳格な,D,1
156,succeed,成功する、跡を継ぐ,D,1
157,elect,選挙する、選ぶ,D,1
158,ashamed,恥ずかしい,D,1
159,role,役割,D,1
160,insist,主張する,D,1
161,declare,表明する、宣言する,D,1
162,achieve,達成する,D,1
163,consider,よく考える,D,1
164,warn,警告する,D,1
165,quite,全く、かなり,D,1
166,annoy,悩ます、いら立たせる,D,1
167,mathematics,数学,D,1
168,forecast,予報、予報する,D,1
169,publish,出版する、公表する,D,1
170,carnivore,肉食動物,D,1
171,useless,役に立たない,D,1
172,feed,餌をやる、養う,D,1
173,summit,頂上、首脳会談,D,1
174,fortunate,幸運な,D,1
175,waterproof,防水の,D,1
176,orbit,軌道、〜の周りを回る,D,1
177,demand,要求する,D,1
178,shallow,浅い,D,1
179,secure,安全な,D,1
180,garment,衣服,D,1
181,governor,知事、総裁、長官,D,1
182,pursue,追い求める,D,1
183,trap,捕まえる,D,1
184,revolution,革命,D,1
185,experience,経験、経験する,D,1
186,raw,生の,D,1
187,shortly,じきに,D,1
188,offend,気分を損なう,D,1
189,present,提出する、贈呈する、贈り物,D,1
190,aggressive,積極的な、攻撃的な,D,1
191,tribe,種族,D,1
192,faithful,忠実な,D,1
193,donate,寄贈する,D,1
194,sociable,社交的な,D,1
195,bay,湾,D,1
196,realize,認識する,D,1
197,load,積み荷、負担、（荷などを）積む,D,1
198,trust,信頼、委託、信頼する,D,1
199,secret,秘密の,D,1
200,rhythm,リズム,D,1
201,settle,定住する,D,1
202,continue,継続する,D,1
203,atlas,地図帳,D,1
204,complaint,不平、苦情,D,1
205,reply,返答する、返事,D,1
206,count,数える,D,1
207,real,実際の、現実の,D,1
208,electronic,電子の,D,1
209,fragment,破片、ばらばらにする,D,1
210,marsh,沼、湿地,D,1
211,trend,傾向,D,1
212,right,権利、正しいこと,D,1
213,vary,変更する、多様にする,D,1
214,author,著者、作者,D,1
215,nebula,星雲,D,1
216,routine,日常の、決まり切った,D,1
217,annual,毎年の、1年ごとの,D,1
218,courage,勇気,D,1
219,algae,（海藻などの）藻類,D,1
220,emphasize,強調する,D,1
221,civic,市民の,D,1
222,bright,輝いている、明るい,D,1
223,actual,実際の,D,1
224,escape,逃れる、逃亡、脱出,D,1
225,growth,成長,D,1
226,tragedy,悲劇,D,1
227,permit,許可する、認める,D,1
228,believe,信じる、思う,D,1
229,union,同盟、労働組合,D,1
230,fellow,友達、特別研究員,D,1
231,disaster,災害,D,1
232,task,業務、仕事、タスク,D,1
233,coast,海岸,D,1
234,difference,相違,D,1
235,numerous,たくさんの、多数の,D,1
236,guess,推測する、推測,D,1
237,biodiversity,生物多様性,D,1
238,convenient,便利な,D,1
239,safety,安全,D,1
240,efficient,効率的な,D,1
241,agriculture,農業,D,1
242,grab,つかむ,D,1
243,patient,患者、忍耐強い,D,1
244,force,力、武力、軍隊、強いる,D,1
245,primitive,原始的な,D,1
246,final,最後の,D,1
247,trash,ごみ,D,1
248,awful,恐ろしい,D,1
249,division,分離、部門,D,1
250,modern,現代的な,D,1
251,repeat,繰り返す,D,1
252,plant,工場（施設）、植物,D,1
253,meanwhile,その間に,D,1
254,opinion,意見,D,1
255,thirsty,喉の乾いた,D,1
256,crime,犯罪,D,1
257,stable,安定した、馬小屋,D,1
258,occur,起こる,D,1
259,actress,女優,D,1
260,dust,ほこり,D,1
261,throw,投げる,D,1
262,connect,連結する,D,1
263,crop,（しばしば〜s）作物,D,1
264,toe,つま先,D,1
265,flag,衰える、（草木が）しおれる、旗,D,1
266,hostage,人質,D,1
267,fee,料金、謝礼,D,1
268,committee,委員会,D,1
269,blood,血,D,1
270,motif,主題、モチーフ、テーマ,D,1
271,elderly,年配の、（the 〜）年配の人たち,D,1
272,store,貯蔵する、店、貯蔵,D,1
273,state,状態、（しばしば S-）国家、（通例 S-）州,D,1
274,ceremony,儀式,D,1
275,beehive,ハチの巣,D,1
276,attitude,態度、気持ち、考え,D,1
277,election,選挙,D,1
278,doubt,疑い、疑う,D,1
279,internal,内部の,D,1
280,compare,比べる、比較する,D,1
281,harbor,港,D,1
282,media,（the 〜）マスメディア、マスコミ,D,1
283,invest,投資する,D,1
284,plate,板、食器類,D,1
285,Atlantic Ocean,（the 〜）大西洋,D,1
286,stock,備蓄、株、ストック,D,1
287,wrinkle,（通例 〜s）しわ,D,1
288,raise,上げる、育てる,D,1
289,shave,（ひげなどを）そる,D,1
290,surface,表面,D,1
291,spectacle,光景,D,1
292,playing field,競技場,D,1
293,rate,比率、（為替などの）レート,D,1
294,commerce,商業,D,1
295,exception,例外,D,1
296,blossom,花、開花,D,1
297,surprise,驚き、驚かせる,D,1
298,elementary,初歩の,D,1
299,performance,公演、実行,D,1
300,selfish,利己的な,D,1
301,nightmare,悪夢,D,1
302,origin,起源、（川などの）源,D,1
303,repair,修理する,D,1
304,finance,財政,D,1
305,evaluate,評価する,D,1
306,evidence,証拠,D,1
307,discount,割引する、軽視する,D,1
308,sure,確信した,D,1
309,graduate,卒業する、大学の卒業生,D,1
310,hurt,傷つける,D,1
311,obtain,手に入れる,D,1
312,fork,（川などが）分岐する、フォーク,D,1
313,passage,通行、（文章などの）一節、通路,D,1
314,glory,栄光,D,1
315,primate,霊長類、大司教,D,1
316,invite,招待する,D,1
317,remind,思い出させる,D,1
318,uniform,均一の、一定の、制服,D,1
319,refuse,拒否する,D,1
320,thin,薄い,D,1
321,property,（通例 〜ties）特質、財産,D,1
322,confident,自信がある,D,1
323,advertisement,広告,D,1
324,disagree,意見が合わない,D,1
325,ability,能力,D,1
326,deficit,赤字,D,1
327,tear,（通例 〜s）涙、裂く,D,1
328,throat,喉,D,1
329,virus,ウイルス,D,1
330,responsible,責任のある,D,1
331,artifact,人工遺物、加工品,D,1
332,reduce,減少する、縮小する,D,1
333,direction,方向,D,1
334,punctual,時間に正確な,D,1
335,wing,翼、（空港の）ウイング,D,1
336,contribute,寄与する,D,1
337,vehicle,（車などの）乗り物,D,1
